setup_id,symbol,entry_time,side,exit_reason,net_r,bars_held,mfe_r,mae_r,atr,adx,bias_direction,bias_strength,state_confirmations,trigger_pattern,entry_price,stop_price,target_price
344f2862-df9,CANBK.NS,"2026-03-11 14:30:00",SELL,eod,0.26,2,0.92,-0.03,0.59,23.3,short,2,3,bearish_engulfing,140.24,141.42,138.46
d713480e-239,HDFCLIFE.NS,"2026-04-23 14:00:00",SELL,eod,0.21,4,1.02,-0.16,2.06,28.1,short,1,3,bearish_engulfing,601.8,605.93,595.61
e56ce827-487,UNIONBANK.NS,"2026-04-22 14:30:00",SELL,eod,0.16,2,0.84,-0.05,0.92,32.3,short,2,4,bearish_engulfing,195.07,196.91,192.31
257042da-3ed,SBIN.NS,"2026-04-24 10:00:00",BUY,eod,0.15,20,1.38,-0.41,3.74,29.3,long,2,3,bullish_engulfing,1095.2,1087.72,1106.42
106110d4-840,RECLTD.NS,"2026-03-11 14:30:00",SELL,eod,0.04,2,0.7,-0.13,1.58,26.3,short,2,4,bearish_engulfing,334.85,338.0,330.12
c08bdbcf-62f,BPCL.NS,"2026-03-06 09:15:00",SELL,eod,0.01,23,0.59,-0.44,3.13,29.2,short,1,3,bearish_engulfing,354.95,361.2,345.57
ba4bc856-f6e,KOTAKBANK.NS,"2026-03-18 10:15:00",BUY,eod,-0.03,19,1.02,-0.47,1.64,35.7,long,1,3,bullish_engulfing,373.5,370.23,378.41
5009c0c5-c55,COALINDIA.NS,"2026-03-10 11:00:00",BUY,eod,-0.09,16,0.87,-0.27,2.38,28.8,long,2,4,bullish_engulfing,440.75,435.99,447.89
0516b21a-1a6,POWERGRID.NS,"2026-03-13 12:15:00",SELL,eod,-0.12,11,0.94,-0.06,1.94,21.8,short,2,4,bearish_engulfing,302.4,306.27,296.59
a0997d2a-18c,SUNPHARMA.NS,"2026-04-28 10:00:00",BUY,eod,-0.14,20,1.29,-0.08,9.32,41.6,long,1,3,bullish_engulfing,1739.7,1721.07,1767.65
eb6a7304-7a3,POWERGRID.NS,"2026-04-20 09:15:00",BUY,eod,-0.15,4,1.13,-0.75,1.07,31.2,long,1,4,hammer,318.2,316.07,321.4
886f91ee-6dd,RECLTD.NS,"2026-03-13 14:30:00",SELL,eod,-0.16,2,0.66,-0.03,1.81,34.1,short,2,3,shooting_star,333.05,336.68,327.61
